system,hardware,profile,stage,stage_name,required_optional,intended_targets,actual_targets,intended_backend,actual_backend,workers_intended,workers_actual,isa_intended,isa_actual,utilization_pressure_expectation,measured_utilization_pressure,allocation_expectation,achieved_allocation,verification_expectation,verification_achieved,intended_duration_seconds,actual_sustained_duration_seconds,lvs_reported_verdict,independent_acceptance_status,confidence,issue_root_cause,rerun_required,notes_evidence_paths
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_stress_ng,CPU stress-ng Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11",cpu:stress_ng,stress_ng,12,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=99.89%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,"stress_ng:passed=12 failed=0 metrics=[{'bogo_ops': 5542477, 'bogo_ops_per_second_cpu': 785.67, 'bogo_ops_per_second_real': 9221.46, 'real_time_seconds': 601.04, 'stressor': 'cpu', 'system_time_seconds': 7.23, 'user_time_seconds': 7047.23}]",600,601.077811449999,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_python,CPU Python Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11",cpu:python_fallback,python_fallback,12,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=47131 failures=0,600,601.1794955509977,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_stress_ng,RAM stress-ng Verification Evidence,required,system RAM,none recorded,memory:stress_ng,stress_ng,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=28.66 GiB, max=28.74 GiB",memory=80%,N/A,durable backend-specific verification/readback/integrity evidence,"stress_ng:passed=1 failed=0 metrics=[{'bogo_ops': 112827979, 'bogo_ops_per_second_cpu': 186931.04, 'bogo_ops_per_second_real': 186489.77, 'real_time_seconds': 605.01, 'stressor': 'vm', 'system_time_seconds': 9.16, 'user_time_seconds': 594.42}]",600,605.0474784219987,pass,VALIDATED,High,Durable --verify/--metrics-brief VM pass/fail and positive bogo metrics with sustained pressure,No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_python,RAM Python Integrity Evidence,required,system RAM,none recorded,memory:python_fallback,python_fallback,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=3.78 GiB, max=28.73 GiB",memory=80%,memory assigned=26713469747 achieved=26713469747 ratio=1.0,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=16 failures=6521844,600,600.9769969370027,fail,FAILED,High,Deterministic false mismatch when rewrite pattern reached byte value zero,No (covered by representative x86 rerun),results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_compute,Integrated GPU Vulkan Compute,required,integrated_all,Intel(R) UHD Graphics (CML GT2),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=50331648 achieved=50335744 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) UHD Graphics (CML GT2):passes=1074 failures=0,600,600.3230314360044,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_transfer,Integrated GPU Vulkan Transfer,required,integrated_all,Intel(R) UHD Graphics (CML GT2),gpu_3d:vulkan,python_vulkan_transfer,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=50331648 achieved=100663296 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) UHD Graphics (CML GT2):passes=14180 failures=0,600,600.4130658949944,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_stateful,Integrated GPU Vulkan Stateful Shared Memory,required,integrated_all,Intel(R) UHD Graphics (CML GT2),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,gpu_3d=80%,gpu assigned=20035102310 achieved=20035105792 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) UHD Graphics (CML GT2):passes=109 failures=0,600,603.3572410050037,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_compute,Discrete GPU Vulkan Compute,required,discrete_all,NVIDIA GeForce GTX 1660 Ti,gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=228167680 achieved=228171776 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=2828 failures=0,600,600.8963694279955,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_transfer,Discrete GPU Vulkan Transfer,required,discrete_all,NVIDIA GeForce GTX 1660 Ti,gpu_3d:vulkan,python_vulkan_transfer,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=171126784 achieved=342253568 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=13228 failures=0,600,601.3282700570053,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_stateful,Discrete GPU Vulkan Stateful Dedicated Memory,required,discrete_all,NVIDIA GeForce GTX 1660 Ti,gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,gpu_3d=90%,gpu assigned=5798203392 achieved=5798207488 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=3584 failures=0,600,600.5929728150004,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
