"system","cpu","gpus","profile","stage","required_optional","intended_target","actual_target","intended_backend","actual_backend","intended_workers","actual_workers","intended_isa","actual_isa","intended_utilization_pressure","measured_utilization_pressure","requested_allocation","assigned_allocation","achieved_allocation","allocation_ratio","verification_mechanism","verification_passes","verification_failures","intended_duration_seconds","sustained_duration_seconds","reported_lvs_status","independent_acceptance_status","issue_root_cause","confidence","rerun_required","notes_evidence_paths"
"Qualcomm Oryon / HP OmniBook X","Qualcomm Oryon; 8P/8L","Adreno X1-45 shared card1","ARM64 Shared-GPU Stateful Remediation","RAM Python Continuous Integrity","required","system RAM","system RAM","memory:python_fallback","python_fallback","1","1","N/A","N/A","80% intent; safe resolved pressure; retained-set continuous integrity","used memory median/max 12.96/13.09 GiB; min MemAvailable 1.933 GB","12937501081","8334839808","8334839808","100% assigned; 64.42% requested","retained chunks continuously verify and rewrite full set","1036","0","600","601.294","pass","VALIDATED","MemAvailable/reserve legitimately reduced profile intent; every assigned byte retained","High","No","results/2026-08-14_09-55-59_ARM64 Shared-GPU Stateful Remediation/{run_manifest.json,raw_telemetry.csv,worker_results/arm64_remediation_python_ram_memory.json}"
"Qualcomm Oryon / HP OmniBook X","Qualcomm Oryon; 8P/8L","Adreno X1-45 shared card1","ARM64 Shared-GPU Stateful Remediation","Integrated GPU Vulkan Stateful Shared Memory","required","integrated_all: Adreno X1-45 shared","Adreno X1-45 card1 platform:3d00000.gpu","gpu_3d:vulkan_compute stateful_memory","python_vulkan_compute stateful_memory","1","1","N/A","N/A","80% shared-heap intent; sustained verified stateful pressure","9495638016 retained; 71 buffers; clock median 1107 MHz; max 50.3 C","9703125811","9495633920","9495638016","100% assigned; 97.86% requested","Vulkan dispatch + readback over every retained buffer","534","0","600","593.281","pass","VALIDATED","Unified reserve caused small truthful reduction; former 32-buffer/47.216% defect closed","High","No","results/2026-08-14_09-55-59_ARM64 Shared-GPU Stateful Remediation/{run_manifest.json,telemetry_source_map.json,worker_results/arm64_remediation_shared_stateful_gpu_3d_1.json}"
"Core i7-10750H laptop","Intel Core i7-10750H; 6P/12L SMT","Intel UHD CML; GTX 1660 Ti","x86_64 RAM and Full Mixed Confirmation","RAM stress-ng Verification Metrics","required","system RAM","system RAM","memory:stress_ng","stress_ng","1 VM","1 VM","N/A","N/A","80% RAM pressure with durable verified VM metrics","memory median/max 28.72/28.79 GiB; 113743286 bogo ops","26713469747","26713469747","26713469747 command target","100% assigned","--verify --metrics-brief; passed/failed/skipped/untrustworthy","1 stressor; 113743286 bogo","0","600","605.55","pass","VALIDATED","Final metrics preserved; exit 0","High","No","results/2026-08-14_09-57-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,worker_logs/x86_ram_full_stress_ng_memory_1.stdout.log,worker_results/x86_ram_full_stress_ng_memory.json}"
"Core i7-10750H laptop","Intel Core i7-10750H; 6P/12L SMT","Intel UHD CML; GTX 1660 Ti","x86_64 RAM and Full Mixed Confirmation","RAM Python Continuous Integrity","required","system RAM","system RAM","memory:python_fallback","python_fallback","1","1","N/A","N/A","80% retained RAM plus continuous integrity","memory median/max 28.73/28.80 GiB; 100 chunks","26713469747","26713469747","26713469747","100% assigned","continuous full retained-set rewrite/verification","390","0","600","601.157","pass","VALIDATED","No MemoryError or guard intervention","High","No","results/2026-08-14_09-57-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,worker_results/x86_ram_full_python_memory.json}"
"Core i7-10750H laptop","Intel Core i7-10750H; 6P/12L SMT","Intel UHD CML; GTX 1660 Ti","x86_64 RAM and Full Mixed Confirmation","Full CPU RAM Integrated and Discrete GPU Confirmation","required","all 12 CPUs + RAM + both GPUs stateful","CPUs 0-11; RAM; Intel 0000:00:02.0; GTX 0000:01:00.0","native CPU+RAM; Vulkan fused compute/stateful","cpu_native_helper; memory_native_helper; 2 python_vulkan_compute","4 subsystem workers; 12 CPU threads","4; 12/12 CPU threads","auto","avx2 / avx2_fma","near-full CPU; resolved RAM/shared pressure; dedicated VRAM pressure; concurrent","CPU med/p10/min 100/100/100; lowest CPU median 100; memory median 29.87 GiB; overlap >=589.759 s","RAM 23374286028; Intel shared 17530714521; GTX 4509715660","RAM 16130985092; Intel 12069479292; GTX 4509715660","RAM 16130985984; Intel 12069482496; GTX 4509719552","100% assigned","CPU canary; 4 RAM patterns; GPU compute/readback","CPU 2272004; RAM 2328; GPUs 173+1951","0","600","589.759","pass","VALIDATED","Unified pool proportionally rebalanced RAM+shared GPU; dedicated VRAM excluded","High","No","results/2026-08-14_09-57-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,raw_telemetry.csv,worker_results/}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","RAM stress-ng Verification Metrics","required","system RAM","system RAM","memory:stress_ng","stress_ng","1 VM","1 VM","N/A","N/A","80% RAM pressure with durable metrics","memory median/max 28.72/28.91 GiB; 116472044 bogo","26377925427","26377925427","26377925427 command target","100% assigned","--verify --metrics-brief","1 stressor; 116472044 bogo","0","600","606.78","pass","VALIDATED","Final metrics preserved; exit 0","High","No","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,worker_results/x86_apu_shared_stress_ng_memory.json}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","RAM Python Continuous Integrity","required","system RAM","system RAM","memory:python_fallback","python_fallback","1","1","N/A","N/A","80% retained RAM integrity","memory median/max 28.73/28.84 GiB; 99 chunks","26377925427","26377925427","26377925427","100% assigned","continuous retained-set verification/rewrite","357","0","600","602.159","pass","VALIDATED","No MemoryError or guard event","High","No","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,worker_results/x86_apu_shared_python_memory.json}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","Integrated GPU Vulkan Transfer","required","integrated_all: Renoir","AMD Radeon Graphics RADV RENOIR 0000:07:00.0","gpu_3d:vulkan transfer/readback","python_vulkan_transfer","1","1","N/A","N/A","continuous device/staging copies and readback; routing validation","busy median/p10 74/74%; 129537 frames","device 50331648 + staging 50331648","same","100663296 total","100% assigned","Vulkan copy submission/barriers/readback","43179","0","600","599.973","pass","VALIDATED","Diagnostic transfer path; not claimed as shader saturation","High","No","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,raw_telemetry.csv,worker_results/x86_apu_shared_transfer_gpu_3d_1.json}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","Integrated GPU Vulkan Stateful Shared Memory","required","integrated_all: Renoir shared heap","RADV RENOIR 0000:07:00.0 heap 1","vulkan_compute stateful_memory 80%","python_vulkan_compute","1","1","N/A","N/A","80% compatible shared heap; verified pressure","busy med/p10 98/98%; 9 buffers","9078974054","9078974054","9078977536","100% assigned","stateful compute/readback all buffers","487","0","600","599.461","pass","VALIDATED","512 MiB carved-out report correctly ignored as total cap","High","No","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,worker_results/x86_apu_shared_stateful_gpu_3d_1.json}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","Combined RAM and Integrated Shared GPU Memory","required","RAM + Renoir shared stateful","RAM + RADV RENOIR 0000:07:00.0","native RAM + Vulkan stateful","memory_native_helper + python_vulkan_compute","2; 16 RAM threads","2; 16 RAM threads","auto","native auto","resolved unified pool; simultaneous RAM integrity and GPU stateful pressure","CPU telemetry med/p10/min 100/100/99.93; memory median 29.59 GiB; GPU busy 94/87%; overlap >=581.659 s","RAM 23080684748; shared 7944102297","RAM 20336712313; shared 6995137927","RAM 20336713728; shared 6995141632","100% assigned","4 RAM patterns + GPU readback","RAM 3720; GPU 234","0","600","581.659","pass","VALIDATED","Proportional shared-pool rebalance followed exactly","High","No","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,raw_telemetry.csv,worker_results/}"
