system,profile,stage,intended_subsystems,intended_targets,actual_targets,intended_backend,actual_backend,intended_workers,actual_workers,intended_ISA,actual_ISA,expected_utilization_or_pressure,measured_utilization_or_pressure,intended_allocation,achieved_allocation,intended_duration_seconds,sustained_duration_seconds,verification_evidence,warnings_errors,acceptance_result,confidence,rerun_required,reason,artifact
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 AMD APU GPU Full Validation,amd_apu_vulkan_compute,gpu_3d,GPU integrated_all,,gpu_3d:vulkan_compute,gpu_3d:python_vulkan_compute,,,,,sustained GPU progress and verification,,,,600,601.01,"GPU status=None, iterations=, verify=, error=","3D stage is using the suite-native Vulkan compute/readback backend; 3D Vulkan compute variant 'stress_hash' selected; 3D Vulkan compute variant 'stress_hash' is experimental; hash remains the validated production path; 3D intensity 'extreme' is shaping suite-native GPU load scaling for this stage; 3D backend 'python_vulkan_compute' is curated as Vulkan / parametric / compute_readback / purpose=suite_native_gpu_stress; Internal GPU workers will ramp from 35% load over approximately 45s; {'timestamp': '2026-08-12T13:04:33.571595-04:00', 'category': 'worker_exit', 'severity': 'error', 'stage': 'AMD APU Vulkan Compute and Readback Sustained', 'source': 'gpu_3d', 'message': 'gpu_3d worker exited early with code 1', 'details': {'return_code': 1, 'command': ['/var/home/empc/Documents/Test Build 0.2.0.b-alpha [x86-64]/.venv/bin/python', 'native/vulkan_compute_worker.py', '--target-vendor', '', '--target-vendor-id', '', '--target-device-id', '', '--target-device-name', '', '--target-card', '', '--target-slot', '', '--target-id', '', '--physical-gpu-id', '', '--target-gpu-index', '0', '--target-vram-total', '0', '--buffer-bytes', '50331648', '--system-memory-fixed-commitment-bytes', '1048576', '--ramp-step-seconds', '15.0', '--start-load-fraction', '0.35', '--result-file', 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_results/amd_apu_vulkan_compute_gpu_3d_1.json', '--device-class', 'unknown', '--profile-mode', 'steady', '--profile-intensity', 'extreme', '--tuning-step', '0', '--compute-rounds', '62', '--kernel-variant', 'stress_hash', '--dispatch-repeats', '4'], 'backend': 'python_vulkan_compute', 'target_id': '', 'stdout_path': 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_logs/amd_apu_vulkan_compute_gpu_3d_1.stdout.log', 'stderr_path': 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_logs/amd_apu_vulkan_compute_gpu_3d_1.stderr.log', 'stdout_tail': '', 'stderr_tail': 'Traceback (most recent call last):\n  File ""/var/home/empc/Documents/Test Build 0.2.0.b-alpha [x86-64]/native/vulkan_compute_worker.py"", line 14, in <module>\n    from Modules.lvs_runtime_memory_guard import claim_runtime_allocation_growth, release_runtime_allocation_claim\nModuleNotFoundError: No module named \'Modules\''}}",NOT EXECUTED,high,yes,Required AMD integrated GPU was not visible; old untargeted worker is not hardware execution.,results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 AMD APU GPU Full Validation,amd_apu_vulkan_stateful,gpu_3d,GPU integrated_all,,gpu_3d:vulkan_compute,gpu_3d:python_vulkan_compute,,,,,sustained GPU progress and verification,,GPU3D 80%,,600,601.06,"GPU status=None, iterations=, verify=, error=","3D stage is using the suite-native Vulkan compute/readback backend; 3D Vulkan compute variant 'stateful_memory' selected; 3D Vulkan compute variant 'stateful_memory' is experimental; hash remains the validated production path; 3D Vulkan stateful-memory allocation target is explicitly set to 80% with capacity-based safety reserves; 3D intensity 'extreme' is shaping suite-native GPU load scaling for this stage; 3D backend 'python_vulkan_compute' is curated as Vulkan / parametric / compute_readback / purpose=suite_native_gpu_stress; Internal GPU workers will ramp from 35% load over approximately 45s; {'timestamp': '2026-08-12T13:24:34.725885-04:00', 'category': 'worker_exit', 'severity': 'error', 'stage': 'AMD APU Vulkan Stateful Shared Memory Sustained', 'source': 'gpu_3d', 'message': 'gpu_3d worker exited early with code 1', 'details': {'return_code': 1, 'command': ['/var/home/empc/Documents/Test Build 0.2.0.b-alpha [x86-64]/.venv/bin/python', 'native/vulkan_compute_worker.py', '--target-vendor', '', '--target-vendor-id', '', '--target-device-id', '', '--target-device-name', '', '--target-card', '', '--target-slot', '', '--target-id', '', '--physical-gpu-id', '', '--target-gpu-index', '0', '--target-vram-total', '0', '--buffer-bytes', '1073741824', '--system-memory-fixed-commitment-bytes', '1048576', '--ramp-step-seconds', '15.0', '--start-load-fraction', '0.35', '--result-file', 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_results/amd_apu_vulkan_stateful_gpu_3d_1.json', '--device-class', 'unknown', '--profile-mode', 'steady', '--profile-intensity', 'extreme', '--tuning-step', '0', '--compute-rounds', '3', '--kernel-variant', 'stateful_memory', '--dispatch-repeats', '1'], 'backend': 'python_vulkan_compute', 'target_id': '', 'stdout_path': 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_logs/amd_apu_vulkan_stateful_gpu_3d_1.stdout.log', 'stderr_path': 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_logs/amd_apu_vulkan_stateful_gpu_3d_1.stderr.log', 'stdout_tail': '', 'stderr_tail': 'Traceback (most recent call last):\n  File ""/var/home/empc/Documents/Test Build 0.2.0.b-alpha [x86-64]/native/vulkan_compute_worker.py"", line 14, in <module>\n    from Modules.lvs_runtime_memory_guard import claim_runtime_allocation_growth, release_runtime_allocation_claim\nModuleNotFoundError: No module named \'Modules\''}}",NOT EXECUTED,high,yes,Required AMD integrated GPU was not visible; old untargeted worker is not hardware execution.,results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 AMD APU GPU Full Validation,amd_apu_vulkan_transfer,gpu_3d,GPU integrated_all,,gpu_3d:vulkan,gpu_3d:python_vulkan_transfer,,,,,sustained GPU progress and verification,,,,600,600.07,"GPU status=None, iterations=, verify=, error=","3D stage is using the suite-native Vulkan transfer/readback backend; Vulkan transfer/readback validates Vulkan routing and memory movement; it is not yet a shader or ray-tracing saturation workload; 3D intensity 'extreme' is shaping suite-native GPU load scaling for this stage; 3D backend 'python_vulkan_transfer' is curated as Vulkan / parametric / transfer_readback / purpose=transfer_diagnostic; Internal GPU workers will ramp from 35% load over approximately 45s; {'timestamp': '2026-08-12T13:14:34.625285-04:00', 'category': 'worker_exit', 'severity': 'error', 'stage': 'AMD APU Vulkan Transfer and Readback Sustained', 'source': 'gpu_3d', 'message': 'gpu_3d worker exited early with code 1', 'details': {'return_code': 1, 'command': ['/var/home/empc/Documents/Test Build 0.2.0.b-alpha [x86-64]/.venv/bin/python', 'native/vulkan_transfer_worker.py', '--target-vendor', '', '--target-vendor-id', '', '--target-device-id', '', '--target-device-name', '', '--target-card', '', '--target-slot', '', '--target-id', '', '--physical-gpu-id', '', '--target-gpu-index', '0', '--target-vram-total', '0', '--buffer-bytes', '50331648', '--ramp-step-seconds', '15.0', '--start-load-fraction', '0.35', '--result-file', 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_results/amd_apu_vulkan_transfer_gpu_3d_1.json', '--device-class', 'unknown', '--profile-mode', 'steady', '--profile-intensity', 'extreme', '--tuning-step', '0'], 'backend': 'python_vulkan_transfer', 'target_id': '', 'stdout_path': 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_logs/amd_apu_vulkan_transfer_gpu_3d_1.stdout.log', 'stderr_path': 'results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation/worker_logs/amd_apu_vulkan_transfer_gpu_3d_1.stderr.log', 'stdout_tail': '', 'stderr_tail': 'Traceback (most recent call last):\n  File ""/var/home/empc/Documents/Test Build 0.2.0.b-alpha [x86-64]/native/vulkan_transfer_worker.py"", line 15, in <module>\n    from Modules.lvs_runtime_memory_guard import claim_runtime_allocation_growth, release_runtime_allocation_claim\nModuleNotFoundError: No module named \'Modules\''}}; {'timestamp': '2026-08-12T13:24:34.438764-04:00', 'category': 'gpu_backend_effectiveness', 'severity': 'info', 'stage': 'AMD APU Vulkan Transfer and Readback Sustained', 'source': 'gpu_0_busy_percent', 'message': 'target GPU gpu0 used diagnostic backend(s) python_vulkan_transfer; treat this as API routing/transfer validation, not a saturation result', 'details': {'gpu_index': 0, 'target_id': 'gpu0', 'workloads': ['gpu_3d'], 'backends': ['python_vulkan_transfer'], 'load_classes': ['diagnostic'], 'metric': 'gpu_0_busy_percent', 'max_busy_percent': 0.0, 'avg_busy_percent': 0.0, 'max_power_w': 26.41, 'avg_power_w': 25.23, 'max_memory_busy_percent': 19.0, 'avg_memory_busy_percent': 7.48, 'backend_preference_3d': 'vulkan', 'backend_resolved_3d': 'python_vulkan_transfer', 'device_class': '', 'diagnostic_backend': True, 'saturation_result': False}}",NOT EXECUTED,high,yes,Required AMD integrated GPU was not visible; old untargeted worker is not hardware execution.,results/2026-08-12_13-04-31_x86_64 AMD APU GPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Full Validation,x86_cpu_native_avx,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:native,cpu:cpu_native_helper,16,16,avx,avx_fma,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,600,600.78,"CPU verify=12069224, canary=12069224, errors=0","CPU stage is using the native helper backend (avx, kernel avx_fma)",VALIDATED,high,no,"Correct target/backend, sustained duration/load or pressure, durable progress/integrity evidence, truthful verdict.",results/2026-08-12_11-07-28_x86_64 CPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Full Validation,x86_cpu_native_avx2,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:native,cpu:cpu_native_helper,16,16,avx2,avx2_fma,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,600,600.84,"CPU verify=12061167, canary=12061167, errors=0","CPU stage is using the native helper backend (avx2, kernel avx2_fma)",VALIDATED,high,no,"Correct target/backend, sustained duration/load or pressure, durable progress/integrity evidence, truthful verdict.",results/2026-08-12_11-07-28_x86_64 CPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Full Validation,x86_cpu_native_scalar,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:native,cpu:cpu_native_helper,16,16,scalar,scalar,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,600,600.75,"CPU verify=3566138, canary=3566138, errors=0","CPU stage is using the native helper backend (scalar, kernel scalar)",VALIDATED,high,no,"Correct target/backend, sustained duration/load or pressure, durable progress/integrity evidence, truthful verdict.",results/2026-08-12_11-07-28_x86_64 CPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Full Validation,x86_cpu_native_sse,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:native,cpu:cpu_native_helper,16,16,sse,sse2_int,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,600,600.18,"CPU verify=15548281, canary=15548281, errors=0","CPU stage is using the native helper backend (sse, kernel sse2)",VALIDATED,high,no,"Correct target/backend, sustained duration/load or pressure, durable progress/integrity evidence, truthful verdict.",results/2026-08-12_11-07-28_x86_64 CPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Full Validation,x86_cpu_python,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:python_fallback,cpu:python_fallback,16,16,auto,,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,600,600.75,"CPU verify=, canary=, errors=0",CPU stage is using Python fallback; load strength is approximate,UNPROVEN DUE TO INSUFFICIENT EVIDENCE,high,yes,"All workers were pinned, saturated their targets, and made PBKDF2 progress, but the saved worker did not verify computed results.",results/2026-08-12_11-07-28_x86_64 CPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Full Validation,x86_cpu_stress_ng,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:stress_ng,cpu:stress_ng,16,None,auto,,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,600,600.19,"CPU verify=, canary=, errors=0",CPU stage is using stress-ng,UNPROVEN DUE TO INSUFFICIENT EVIDENCE,high,yes,"All intended CPUs were saturated and bogo progress was positive, but the command did not enable stress-ng verification.",results/2026-08-12_11-07-28_x86_64 CPU Full Validation
AMD Ryzen 7 5700G with Radeon Graphics,x86_64 CPU Targeting Functional,x86_target_native_auto,cpu,"CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","CPU [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",cpu:native,cpu:cpu_native_helper,16,16,auto,avx2_fma,target-CPU saturation,"CPU median 100.0%, p10 100.0%, lowest logical median 100.0%",,,90,90.26,"CPU verify=1816008, canary=1816008, errors=0","CPU stage is using the native helper backend (auto, kernel avx2_fma); CPU stage will auto-tune at runtime for maximum package power; the executed mode/kernel may differ from the dry-run preview",VALIDATED,high,no,"Correct target/backend, sustained duration/load or pressure, durable progress/integrity evidence, truthful verdict.",results/2026-08-12_11-00-48_x86_64 CPU Targeting Functional
