system,result_directory,stage,requested_contract,actual_backend_or_kernel,target_logical_cpus,actual_workers,affinity,aggregate_median_pct,aggregate_p10_pct,aggregate_min_pct,verification_progress,verification_failures,actual_duration_s,lvs_status,independent_status,notes
Intel Core i7-10750H,2026-08-14_16-06-25_CPU Power Auto and Instruction Intent Confirmation,Power Auto,power_auto,stress-ng matrixprod,0-11,12,taskset corroborated by telemetry,100,100,99.88,5435799 bogo,0,601.35,PASS,VALIDATED WITH EXPLAINED WARNING,"power_probe 81.05 W; runner-up Python 79.04 W; sustained thermal limiting"
Intel Core i7-10750H,2026-08-14_16-06-25_CPU Power Auto and Instruction Intent Confirmation,Baseline Vector,baseline_vector,native sse2,0-11,12,12/12 observed,100,100,100,1525235 canary passes,0,180.69,PASS,VALIDATED,
Intel Core i7-10750H,2026-08-14_16-06-25_CPU Power Auto and Instruction Intent Confirmation,High-Throughput Vector,high_throughput_vector,native avx2_fma,0-11,12,12/12 observed,100,100,100,1786638 canary passes,0,180.99,PASS,VALIDATED,
Intel Core i7-10750H,2026-08-14_16-06-25_CPU Power Auto and Instruction Intent Confirmation,Highest Verified Vector,highest_verified_vector,native avx2_fma,0-11,12,12/12 observed,100,100,100,1782581 canary passes,0,180.39,PASS,VALIDATED,"AVX-512 absent from common target capability"
Intel Core Ultra 9 285K,2026-08-14_16-07-32_CPU Power Auto and Instruction Intent Confirmation,Power Auto,power_auto,Python PBKDF2,0-23,24,24/24 observed,100,100,100,128726 compare_digest passes,0,600.14,PASS,VALIDATED WITH EXPLAINED WARNING,"power_probe 229.01 W; runner-up stress-ng 197.59 W; unrelated successful USB UAS reset"
Intel Core Ultra 9 285K,2026-08-14_16-07-32_CPU Power Auto and Instruction Intent Confirmation,Baseline Vector,baseline_vector,native sse2,0-23,24,24/24 observed,100,100,100,5800263 canary passes,0,180.27,PASS,VALIDATED,
Intel Core Ultra 9 285K,2026-08-14_16-07-32_CPU Power Auto and Instruction Intent Confirmation,High-Throughput Vector,high_throughput_vector,native avx2_fma,0-23,24,24/24 observed,100,100,100,6698436 canary passes,0,180.21,PASS,VALIDATED,
Intel Core Ultra 9 285K,2026-08-14_16-07-32_CPU Power Auto and Instruction Intent Confirmation,Highest Verified Vector,highest_verified_vector,native avx2_fma,0-23,24,24/24 observed,100,100,100,6665389 canary passes,0,180.16,PASS,VALIDATED,"correct common P/E-safe maximum"
AMD Ryzen 5 8600G,2026-08-14_16-08-34_CPU Power Auto and Instruction Intent Confirmation,Power Auto,power_auto,Python PBKDF2,0-11,12,12/12 observed,100,100,100,32993 compare_digest passes,0,600.14,PASS,VALIDATED,"power_probe 79.08 W; runner-up native avx512_int 76.10 W"
AMD Ryzen 5 8600G,2026-08-14_16-08-34_CPU Power Auto and Instruction Intent Confirmation,Baseline Vector,baseline_vector,native sse2,0-11,12,12/12 observed,100,100,100,2495495 canary passes,0,180.22,PASS,VALIDATED,
AMD Ryzen 5 8600G,2026-08-14_16-08-34_CPU Power Auto and Instruction Intent Confirmation,High-Throughput Vector,high_throughput_vector,native avx2_fma,0-11,12,12/12 observed,100,100,100,2946474 canary passes,0,180.38,PASS,VALIDATED,
AMD Ryzen 5 8600G,2026-08-14_16-08-34_CPU Power Auto and Instruction Intent Confirmation,Highest Verified Vector,highest_verified_vector,native avx512_fma,0-11,12,12/12 observed,100,100,100,1719869 canary passes,0,180.61,PASS,VALIDATED,
Qualcomm Oryon,2026-08-14_16-08-49_CPU Power Auto and Instruction Intent Confirmation,Power Auto,power_auto,stress-ng matrixprod,0-7,8,taskset corroborated by telemetry,100,100,99.63,438835 bogo,0,600.10,PASS,VALIDATED,"thermal_validated_fallback; package watts unavailable; no fabricated samples"
Qualcomm Oryon,2026-08-14_16-08-49_CPU Power Auto and Instruction Intent Confirmation,Baseline Vector,baseline_vector,native ARM64 neon,0-7,8,8/8 observed,100,100,100,963550 canary passes,0,180.23,PASS,VALIDATED,
Qualcomm Oryon,2026-08-14_16-08-49_CPU Power Auto and Instruction Intent Confirmation,High-Throughput Vector,high_throughput_vector,native ARM64 neon,0-7,8,8/8 observed,100,100,100,963988 canary passes,0,180.20,PASS,VALIDATED,"explicit ARM tier collapse"
Qualcomm Oryon,2026-08-14_16-08-49_CPU Power Auto and Instruction Intent Confirmation,Highest Verified Vector,highest_verified_vector,native ARM64 neon,0-7,8,8/8 observed,100,100,100,963603 canary passes,0,180.22,PASS,VALIDATED,
AMD Ryzen 7 5700G,2026-08-14_16-09-51_CPU Power Auto and Instruction Intent Confirmation,Power Auto,power_auto,stress-ng matrixprod,0-15,16,taskset corroborated by telemetry,100,100,99.85,6722981 bogo,0,600.63,PASS,VALIDATED WITH EXPLAINED WARNING,"power_probe 87.83 W; runner-up Python 85.66 W; sustained power corroborates"
AMD Ryzen 7 5700G,2026-08-14_16-09-51_CPU Power Auto and Instruction Intent Confirmation,Baseline Vector,baseline_vector,native sse2,0-15,16,16/16 observed,100,100,100,3339931 canary passes,0,180.02,PASS,VALIDATED,
AMD Ryzen 7 5700G,2026-08-14_16-09-51_CPU Power Auto and Instruction Intent Confirmation,High-Throughput Vector,high_throughput_vector,native avx2_fma,0-15,16,16/16 observed,100,100,100,3614539 canary passes,0,180.36,PASS,VALIDATED,
AMD Ryzen 7 5700G,2026-08-14_16-09-51_CPU Power Auto and Instruction Intent Confirmation,Highest Verified Vector,highest_verified_vector,native avx2_fma,0-15,16,16/16 observed,100,100,100,3611025 canary passes,0,180.19,PASS,VALIDATED,
